7000 17148 
1058 2906 1
1058 3173 -1
1059 1166 -1
1059 1350 -1
1059 1310 1
1059 5361 -1
1060 3743 1
1060 3306 -1
1060 3922 -1
1061 4410 1
1061 6901 1
1061 4718 1
1063 5202 1
1063 6278 1
1063 5813 -1
1064 1260 -1
1064 1081 -1
1064 2793 1
1064 6976 -1
1064 5897 1
1064 6877 -1
1065 3886 1
1065 3322 -1
1065 2862 -1
1065 3451 1
1065 1531 -1
1065 1066 -1
1066 6886 1
1066 6852 1
1066 5353 1
1067 6658 -1
1067 6135 -1
1067 1787 -1
1068 5412 1
1068 6657 1
1068 4938 -1
1068 1348 -1
1068 6377 -1
1068 3431 1
1068 4175 -1
1069 4177 1
1069 4113 1
1070 2233 -1
1070 5931 1
1070 5859 1
1070 5697 -1
1070 1370 -1
1070 4145 -1
1071 3231 -1
1071 4343 1
1071 6823 1
1072 4023 1
1072 3791 1
1072 2080 1
1072 4343 -1
1072 5507 -1
1072 2112 1
1072 5640 1
1072 1652 -1
1072 3133 1
1072 6270 -1
1073 6953 1
1073 3099 -1
1073 2326 1
1073 4907 1
1073 5359 -1
1073 6342 -1
1073 5214 1
1073 5235 -1
1073 3531 1
1073 5866 1
1073 3514 -1
1073 3713 -1
1073 4692 -1
1074 3872 1
1075 3134 1
1075 3844 1
1075 5193 1
1075 6823 1
1075 5978 -1
1076 5229 1
1076 1312 -1
1076 2995 -1
1076 4388 1
1076 4371 -1
1076 4187 -1
1077 5658 1
1077 5792 1
1078 1675 -1
1079 1296 -1
1079 1129 -1
1079 5025 1
1080 1871 1
1080 4472 1
1081 6501 1
1081 1901 1
1081 1204 -1
1081 5342 -1
1081 2333 -1
1082 1480 1
1082 6861 -1
1082 4645 1
1082 4881 1
1083 2637 1
1083 1662 1
1083 5174 -1
1083 6486 1
1083 1921 -1
1083 4013 1
1084 2626 -1
1084 5124 1
1084 4090 1
1084 5546 1
1084 5017 1
1084 5638 -1
1084 4789 1
1084 6732 1
1084 3990 -1
1084 6694 1
1085 3412 -1
1086 5475 1
1086 1991 -1
1086 2658 1
1087 3632 -1
1087 5257 -1
1087 5190 1
1088 2809 1
1088 4531 1
1089 4536 -1
1089 4649 1
1089 6718 1
1089 4977 -1
1089 4831 -1
1090 4708 -1
1090 1837 -1
1090 2176 -1
1091 6602 1
1091 6293 -1
1092 4958 -1
1092 3988 -1
1092 3266 1
1092 2538 -1
1092 1224 1
1092 1943 1
1092 6139 1
1093 2381 1
1093 6737 -1
1093 3263 -1
1093 3024 -1
1093 4560 1
1093 5575 1
1093 5146 1
1094 5257 -1
1094 1982 -1
1095 3497 -1
1095 4548 1
1095 4478 1
1096 2126 1
1096 6542 -1
1096 3424 1
1097 3251 1
1097 6618 -1
1098 2554 1
1098 4370 -1
1098 4142 1
1098 3037 1
1099 4662 -1
1099 2028 1
1099 6176 1
1099 6529 1
1099 2111 1
1099 2450 1
1099 4291 1
1100 6650 -1
1100 5527 -1
1100 6620 1
1100 4750 -1
1101 1296 -1
1101 5116 1
1101 5163 1
1101 5844 -1
1101 3142 -1
1102 2932 1
1102 6286 1
1102 4734 1
1102 3044 -1
1102 1914 -1
1102 3737 -1
1102 1465 -1
1102 3481 -1
1103 6103 1
1103 6966 1
1103 6851 1
1103 6068 1
1104 2719 -1
1104 3713 -1
1104 6655 1
1105 1539 1
1105 1262 1
1105 3667 -1
1106 6239 -1
1106 1511 1
1106 2916 -1
1106 6945 1
1106 2794 -1
1107 1401 -1
1107 4364 1
1108 1284 1
1108 3155 -1
1108 5885 1
1108 3627 -1
1108 1316 -1
1108 4435 -1
1108 2766 -1
1108 4322 1
1108 4821 -1
1109 6616 1
1109 6312 1
1109 2996 -1
1109 3742 1
1109 1536 1
1109 1124 -1
1109 1508 -1
1110 1936 1
1110 4067 1
1110 2979 1
1110 4293 -1
1111 2299 1
1111 4176 1
1111 3808 1
1111 5323 -1
1111 5363 1
1112 3988 -1
1112 6153 1
1113 4684 1
1113 6591 1
1113 1926 1
1113 4736 -1
1113 5749 1
1113 5626 -1
1114 3845 -1
1114 6835 -1
1114 4761 1
1114 1856 1
1115 4822 1
1115 6609 1
1115 6148 -1
1115 4587 -1
1116 3027 -1
1116 3012 -1
1116 6149 1
1116 6806 -1
1117 4646 -1
1117 4879 -1
1117 5234 -1
1118 2455 -1
1118 3699 -1
1118 4848 -1
1119 2079 1
1119 3021 -1
1119 6637 -1
1119 3754 1
1119 5196 -1
1119 4070 1
1119 2671 -1
1120 1621 -1
1120 3305 1
1120 3605 1
1120 1855 1
1121 4483 -1
1121 3060 1
1122 3110 1
1122 4144 1
1122 5433 -1
1122 3057 1
1123 2417 1
1123 2276 1
1123 5667 1
1123 5817 -1
1123 5596 -1
1124 2160 1
1124 6465 -1
1124 3916 -1
1124 2764 -1
1125 4910 -1
1125 5846 -1
1125 3764 1
1126 2062 1
1126 2775 1
1126 5773 -1
1127 5918 1
1127 5963 1
1127 3563 1
1127 2878 -1
1127 1497 -1
1128 4249 1
1128 5353 1
1128 1803 1
1128 6977 1
1128 5580 -1
1128 3556 -1
1128 1877 1
1129 4888 1
1129 4761 1
1129 2426 1
1130 1818 1
1130 6752 -1
1131 1938 -1
1131 3424 1
1131 3980 -1
1132 1363 -1
1132 5882 1
1132 4106 1
1132 6341 1
1132 6961 -1
1132 3230 -1
1133 1736 1
1133 1345 1
1133 6657 -1
1134 2609 1
1134 6460 1
1134 1167 -1
1134 5654 -1
1134 3782 1
1135 2387 1
1135 4182 1
1135 2359 1
1136 6457 1
1136 1233 1
1138 2904 -1
1138 4327 -1
1138 4512 -1
1138 6898 1
1139 3085 -1
1139 4655 -1
1140 3923 1
1140 3136 1
1140 4674 -1
1140 1751 -1
1140 4861 -1
1141 4491 -1
1141 2201 1
1141 1532 1
1141 5066 1
1142 3432 1
1142 4796 1
1142 3494 1
1142 1148 -1
1142 4051 -1
1142 5454 -1
1143 1484 -1
1143 1493 -1
1143 2007 -1
1143 5192 -1
1143 5051 -1
1143 6388 1
1144 4048 -1
1144 6380 1
1144 4543 1
1144 2120 1
1144 1950 -1
1145 1373 -1
1145 4683 -1
1145 2506 1
1145 3099 1
1145 4300 1
1146 5472 1
1146 3598 1
1146 5082 1
1146 6458 -1
1147 2452 1
1148 4588 1
1148 2373 -1
1148 1941 -1
1148 4009 1
1149 1641 1
1149 6463 1
1149 6505 1
1149 4985 -1
1149 2112 1
1149 5034 1
1150 3092 -1
1150 2372 -1
1150 2678 -1
1150 1843 1
1150 5595 -1
1150 4373 -1
1151 6562 -1
1151 4308 1
1151 1769 1
1152 4496 -1
1152 1681 -1
1152 4942 -1
1152 1462 -1
1152 6075 1
1152 5561 -1
1152 3790 1
1153 4833 -1
1153 6296 -1
1154 4877 -1
1154 2994 1
1154 3940 1
1154 1246 1
1154 3739 -1
1155 6907 1
1155 5177 -1
1155 2621 -1
1156 1403 -1
1156 5665 1
1156 4043 -1
1156 5135 -1
1156 5614 1
1157 5182 1
1157 1396 1
1157 3532 1
1157 1226 1
1158 5884 -1
1158 6189 1
1158 3403 1
1159 4331 1
1159 6629 1
1159 6008 -1
1160 2206 1
1160 6694 1
1161 4930 -1
1161 5731 1
1161 6025 -1
1161 2021 -1
1161 6030 1
1162 5989 -1
1162 3918 -1
1162 3296 -1
1162 6187 1
1163 5348 -1
1163 2031 1
1163 2443 1
1163 2669 -1
1164 5651 -1
1164 6419 -1
1165 6003 1
1165 4384 -1
1165 4289 1
1166 3715 -1
1166 3572 -1
1166 1826 -1
1166 3709 1
1167 4053 -1
1167 2586 -1
1167 3317 -1
1167 3569 -1
1167 1212 1
1167 1387 -1
1167 6401 1
1167 6049 1
1168 4021 1
1168 1746 1
1168 4108 -1
1169 1870 -1
1169 5446 1
1169 3137 1
1169 4465 -1
1170 3762 -1
1170 6836 1
1170 6635 1
1170 2345 -1
1171 3756 1
1171 6718 1
1171 6508 1
1171 3330 1
1171 4893 1
1172 2763 1
1172 5977 -1
1172 3920 -1
1173 5643 -1
1173 4320 -1
1173 4371 -1
1173 4261 -1
1173 2290 -1
1174 3498 1
1174 3991 1
1175 4317 -1
1175 2740 -1
1175 5554 1
1176 6999 -1
1176 4085 -1
1176 4462 -1
1177 3454 1
1177 2203 -1
1178 1930 -1
1178 4338 1
1178 5583 -1
1178 3960 -1
1178 5404 -1
1179 3969 -1
1179 2522 -1
1179 2008 -1
1179 4635 1
1179 2674 1
1180 3684 1
1180 6772 1
1181 4305 -1
1181 2125 1
1182 6157 -1
1182 6980 1
1182 2347 1
1182 6845 -1
1182 2937 1
1182 5306 1
1182 6832 -1
1183 2339 -1
1183 5438 1
1183 3664 1
1183 1388 -1
1183 4065 1
1184 4804 -1
1184 4623 -1
1184 3778 1
1184 4467 -1
1185 3532 -1
1185 5825 -1
1185 2248 1
1185 3112 -1
1186 1372 1
1186 6000 1
1186 2918 -1
1186 1267 -1
1187 2777 -1
1187 2097 -1
1187 5104 -1
1188 1440 -1
1188 1883 -1
1189 4274 1
1189 2928 -1
1189 3472 1
1189 6754 -1
1190 1275 1
1190 3407 -1
1190 5665 -1
1190 3308 1
1190 1899 -1
1190 6526 1
1191 3644 1
1191 5464 1
1191 3844 -1
1191 2744 -1
1191 4364 1
1191 6255 -1
1192 6909 -1
1192 4706 1
1192 5426 1
1192 4666 -1
1193 5200 -1
1193 3978 -1
1193 1721 -1
1193 3267 -1
1194 6061 1
1194 3935 -1
1194 4634 -1
1194 2393 1
1194 4856 1
1194 4994 -1
1195 3883 1
1195 3213 1
1195 6170 -1
1195 1803 1
1196 3319 -1
1196 6094 1
1196 1443 -1
1196 5384 -1
1196 4538 1
1197 1761 -1
1197 4948 -1
1197 3754 1
1197 3400 1
1198 1768 -1
1198 2176 -1
1198 5288 1
1198 1412 1
1199 2008 -1
1199 3334 1
1199 2395 1
1199 5396 -1
1199 1566 1
1200 3346 -1
1200 2039 1
1201 3566 1
1201 6330 -1
1201 6810 -1
1202 3398 1
1202 5539 1
1202 2535 -1
1202 6910 -1
1202 2941 1
1202 6029 1
1202 3116 -1
1203 3689 1
1203 6656 1
1203 2771 1
1203 6426 -1
1205 6856 1
1205 4683 1
1206 5104 -1
1206 4529 1
1206 3690 1
1206 2891 1
1206 2418 -1
1207 6445 1
1207 4494 -1
1208 2051 1
1208 3827 1
1208 1230 1
1208 1363 -1
1209 2944 -1
1209 2804 1
1209 6636 1
1209 3866 -1
1210 2954 1
1210 3671 -1
1210 3423 -1
1211 5397 -1
1211 4252 -1
1211 1613 -1
1211 4084 -1
1211 4543 1
1211 5179 -1
1212 4906 -1
1212 6680 -1
1212 3564 1
1212 6702 -1
1212 5793 -1
1213 4240 1
1213 2074 1
1213 1256 1
1213 5562 1
1213 2152 1
1213 1878 1
1214 3994 -1
1214 2234 -1
1214 3257 1
1214 4328 1
1214 1217 -1
1215 5322 -1
1215 1551 1
1215 1714 1
1216 6011 1
1217 3896 1
1217 3264 1
1217 6444 1
1217 1483 1
1217 5304 -1
1218 2364 -1
1218 3233 -1
1219 3374 1
1219 4420 -1
1219 1960 1
1220 3237 -1
1220 1564 -1
1220 4454 1
1220 2818 -1
1221 3244 -1
1221 1679 -1
1221 5284 1
1222 6158 1
1222 6610 -1
1223 6994 1
1223 5084 -1
1223 3334 1
1224 4750 -1
1224 1431 -1
1224 6835 1
1224 2882 1
1224 3813 -1
1225 2798 -1
1226 3778 -1
1227 6208 1
1227 3085 1
1227 3704 -1
1227 3058 -1
1228 1453 -1
1228 1998 1
1228 2925 1
1228 3878 -1
1229 1650 1
1229 3234 -1
1229 3562 1
1230 4815 1
1230 6700 1
1230 5115 1
1230 3220 -1
1231 3206 -1
1231 1239 1
1231 5577 -1
1232 3890 -1
1232 2965 1
1232 6977 -1
1232 6723 -1
1233 2256 1
1233 4384 1
1233 2268 1
1233 5851 1
1233 6517 1
1233 3525 1
1234 2513 1
1234 4875 1
1234 5599 1
1234 6877 -1
1235 3092 -1
1235 2387 -1
1235 6732 1
1236 6474 -1
1236 3485 -1
1236 2982 -1
1237 4711 1
1237 5826 1
1237 6310 -1
1237 4559 -1
1238 4074 -1
1238 4903 -1
1238 5748 1
1238 3868 -1
1238 5981 1
1238 3512 -1
1238 4842 -1
1239 2935 -1
1239 4856 -1
1239 3356 -1
1239 4586 -1
1240 6515 -1
1240 5695 1
1240 4693 -1
1240 5053 -1
1240 2038 1
1240 2772 1
1240 6227 1
1241 2642 1
1241 4729 -1
1241 1766 1
1242 3856 -1
1242 3211 -1
1242 6373 -1
1243 5640 1
1244 6933 -1
1244 2935 -1
1244 3027 1
1244 5460 -1
1244 1436 1
1244 2740 1
1244 1887 1
1245 5048 -1
1245 4623 -1
1246 5492 -1
1247 1369 -1
1247 3313 -1
1247 2152 1
1247 4107 1
1248 6861 -1
1248 6961 1
1249 3425 1
1250 1971 -1
1250 5576 1
1250 4481 1
1250 6786 1
1250 4984 -1
1250 1484 1
1251 3741 -1
1251 3078 1
1251 2780 1
1251 5661 1
1252 2956 -1
1253 5595 -1
1253 1868 1
1254 4959 1
1254 3452 1
1255 4959 -1
1255 2255 -1
1255 2978 1
1255 1494 1
1255 6626 -1
1256 1709 -1
1257 5051 1
1257 3416 -1
1258 6283 -1
1258 6863 1
1258 4824 -1
1258 4834 1
1258 5098 1
1259 3037 -1
1259 3709 -1
1259 5072 -1
1259 4039 -1
1259 3128 1
1259 1584 -1
1259 6139 1
1259 3944 -1
1260 6984 -1
1260 5516 -1
1260 4872 -1
1260 3775 1
1260 5244 1
1260 1607 -1
1260 5512 1
1261 6315 -1
1261 3038 1
1261 6138 1
1261 3479 -1
1261 5725 1
1261 6197 1
1262 1874 -1
1263 3124 -1
1263 3015 -1
1263 6874 1
1263 4913 1
1264 3224 1
1264 1727 1
1264 2415 1
1264 1682 1
1265 1289 1
1265 5924 -1
1265 4377 -1
1266 2279 1
1267 1839 -1
1267 6208 1
1267 6207 -1
1267 5010 -1
1268 2138 -1
1268 6293 1
1268 3819 -1
1268 3124 1
1269 1862 -1
1269 6518 1
1269 4996 1
1269 6317 -1
1269 6123 1
1269 4707 1
1269 3035 1
1269 3102 -1
1270 2831 -1
1270 2617 1
1270 6364 -1
1270 4143 -1
1270 1393 -1
1270 2588 -1
1271 2767 1
1272 5628 -1
1272 6959 1
1272 4673 -1
1272 5015 1
1273 1538 -1
1273 3699 1
1273 2629 -1
1273 3817 1
1273 5364 -1
1273 1945 1
1274 6962 1
1274 5573 1
1274 3962 1
1274 5924 1
1274 4440 1
1274 1278 -1
1274 4390 1
1274 4003 1
1275 5653 -1
1275 1987 1
1275 2385 1
1275 3138 -1
1275 5328 1
1276 6863 1
1277 5031 -1
1277 5157 1
1277 6852 1
1277 6704 1
1277 5021 1
1278 2048 1
1278 6509 -1
1278 2450 1
1278 2987 -1
1278 1342 -1
1279 4969 -1
1279 1547 1
1280 4362 -1
1280 4561 1
1280 6678 -1
1280 1377 1
1280 2578 1
1280 6073 -1
1281 2624 1
1281 4014 1
1281 6355 1
1281 5714 -1
1282 5239 -1
1282 2292 -1
1282 6478 1
1283 6974 -1
1283 4647 -1
1286 2855 -1
1286 5024 -1
1286 4025 1
1286 6749 -1
1286 2750 -1
1287 3388 -1
1287 3218 -1
1287 1428 1
1288 6917 1
1288 3493 -1
1288 4848 1
1288 5940 -1
1288 6652 1
1289 4181 1
1289 1954 -1
1289 6834 -1
1289 4729 -1
1289 2149 -1
1289 1678 -1
1289 2132 1
1290 6366 1
1290 6317 -1
1290 3264 -1
1290 2149 1
1290 5762 1
1290 3368 1
1291 5307 1
1291 3475 -1
1291 6173 -1
1291 6020 1
1291 2093 -1
1291 1297 -1
1291 3980 1
1291 2452 1
1291 4660 1
1291 2469 1
1291 6070 1
1291 2493 -1
1291 2657 1
1292 6801 1
1292 2093 1
1292 3918 1
1292 5982 1
1292 6501 1
1293 4282 -1
1293 5565 1
1293 2240 -1
1294 5170 -1
1294 5824 -1
1294 1481 1
1294 3158 -1
1295 5215 1
1295 2360 -1
1295 2451 -1
1295 6032 1
1295 2654 1
1296 3158 -1
1296 6579 -1
1296 1307 1
1296 1604 -1
1297 6282 1
1297 2465 -1
1297 5368 1
1298 6106 1
1298 2375 -1
1298 2383 1
1299 2021 1
1299 6652 -1
1299 5562 1
1300 3540 -1
1300 3450 -1
1301 6636 1
1301 2440 -1
1301 2404 1
1301 2123 1
1301 2987 -1
1301 2702 1
1302 4298 -1
1302 2235 1
1302 6060 1
1303 4112 -1
1303 6295 -1
1303 5767 -1
1303 5358 -1
1303 3824 1
1303 5268 -1
1304 4797 -1
1305 5939 -1
1305 5043 -1
1305 4259 -1
1305 1484 1
1306 3252 1
1306 3353 -1
1307 6525 -1
1307 6875 -1
1307 1438 1
1307 3383 -1
1307 5718 1
1307 1882 -1
1307 1363 1
1308 6928 1
1308 6239 -1
1308 1913 -1
1308 5574 -1
1308 1608 1
1308 5658 1
1308 6194 -1
1309 5963 -1
1309 4788 -1
1309 4407 -1
1309 3619 -1
1310 2037 1
1310 4233 1
1311 4452 1
1311 5306 1
1311 6076 -1
1311 4286 1
1312 5052 -1
1312 4747 -1
1312 6566 1
1313 4087 -1
1313 1678 -1
1313 3768 -1
1313 5639 1
1314 1779 1
1314 1339 1
1314 1950 -1
1315 2912 1
1315 3737 1
1315 6457 1
1315 6980 -1
1316 2407 -1
1316 3699 -1
1316 5712 -1
1316 4289 1
1316 4710 -1
1317 2771 -1
1317 3511 -1
1317 1405 1
1318 6860 1
1318 2528 1
1318 1927 1
1318 3443 1
1318 2710 1
1319 3567 1
1319 4589 1
1320 3423 -1
1320 5038 -1
1320 4092 1
1320 3944 1
1320 1992 1
1321 5063 1
1321 1359 -1
1321 3512 -1
1321 3409 -1
1322 1492 1
1322 5060 -1
1322 4665 1
1323 5031 -1
1323 6956 -1
1323 5618 -1
1323 3021 -1
1323 2524 1
1323 5206 -1
1323 3593 1
1324 3003 1
1324 6249 1
1324 6357 1
1325 6807 1
1325 5356 1
1325 6438 1
1325 3292 1
1326 4078 1
1326 2319 -1
1326 6950 1
1326 3367 -1
1327 2922 -1
1327 4774 -1
1327 6309 -1
1327 1958 -1
1327 4660 -1
1328 4502 -1
1328 5242 -1
1329 5723 1
1329 4035 1
1329 6133 1
1329 5350 -1
1329 1373 1
1330 3862 1
1330 3927 -1
1330 3701 1
1330 5665 1
1331 6006 -1
1331 6875 -1
1332 2850 1
1332 3387 -1
1333 6026 1
1333 4305 -1
1333 4635 -1
1334 3392 -1
1334 1696 -1
1334 3707 -1
1335 4105 1
1335 2275 1
1335 2713 1
1335 5128 -1
1336 4879 1
1336 5381 -1
1336 6884 -1
1336 4330 1
1336 4668 -1
1336 6578 1
1337 5257 1
1337 5672 1
1337 4043 1
1338 4676 1
1338 2452 -1
1339 6928 1
1339 5870 -1
1339 6663 1
1339 4087 -1
1339 2000 1
1339 1531 1
1339 3476 1
1339 2925 -1
1339 1571 1
1339 3070 1
1339 3344 -1
1339 5767 -1
1340 5958 1
1340 2431 1
1340 4195 1
1341 3884 1
1341 6933 -1
1341 5902 -1
1341 3366 1
1342 2597 1
1342 4904 1
1342 6102 1
1343 3100 1
1343 6380 -1
1343 4625 -1
1343 2134 -1
1344 4975 -1
1344 4652 1
1344 2248 1
1344 2419 1
1345 2382 1
1345 5830 1
1345 2250 -1
1345 6888 -1
1346 1648 1
1346 6606 -1
1346 1739 -1
1346 3885 1
1346 2603 1
1347 6822 1
1347 4692 -1
1347 1593 -1
1347 6326 1
1347 3040 1
1347 6170 1
1348 3197 -1
1348 4901 -1
1349 5828 1
1350 3025 -1
1350 6729 1
1350 1915 1
1351 4708 1
1351 2178 -1
1351 5575 -1
1351 5942 1
1352 3153 1
1352 1387 1
1352 6725 -1
1352 3674 -1
1352 2751 -1
1353 1759 -1
1353 5463 1
1353 2829 -1
1353 5410 -1
1353 5034 1
1354 3658 -1
1354 2208 1
1354 4320 -1
1355 4523 -1
1355 5980 -1
1355 3727 1
1355 4518 1
1355 5565 -1
1355 5701 -1
1356 6333 1
1356 4233 1
1356 6678 -1
1356 1567 -1
1356 3881 1
1356 1638 -1
1357 6813 -1
1357 5866 -1
1357 3318 1
1357 6821 -1
1358 3214 -1
1358 6686 -1
1359 2017 -1
1359 5365 1
1360 2612 -1
1360 6955 -1
1360 6386 1
1361 6642 1
1361 1927 1
1361 3291 1
1362 6073 -1
1362 3609 1
1362 6177 -1
1363 5302 1
1363 3460 -1
1363 4415 -1
1363 4736 1
1363 2839 1
1364 4740 1
1364 2970 -1
1364 2547 -1
1364 5446 -1
1365 2595 -1
1365 3209 1
1365 6406 1
1365 3091 1
1365 1445 1
1365 1568 1
1366 5045 -1
1366 6437 1
1366 3527 1
1366 5907 1
1366 4897 -1
1366 2727 1
1366 2218 -1
1367 4291 1
1367 3600 -1
1367 3522 1
1367 3697 -1
1368 6815 1
1368 1665 1
1368 2799 1
1368 5805 1
1368 1726 -1
1368 2167 -1
1368 1951 1
1369 5901 1
1370 4182 1
1370 5126 -1
1370 6626 1
1370 4162 -1
1371 3081 -1
1371 6884 1
1371 6946 -1
1372 6795 1
1372 1467 1
1373 4529 -1
1374 5552 1
1374 4765 -1
1374 6437 -1
1374 4096 -1
1374 6142 -1
1374 6777 -1
1375 6159 1
1375 6172 1
1375 5574 -1
1375 1460 -1
1376 1955 -1
1376 4526 -1
1376 2947 -1
1376 3514 -1
1376 4283 1
1377 2947 -1
1377 2734 -1
1377 2610 -1
1377 2886 -1
1377 5485 1
1378 1834 1
1378 3367 1
1378 3910 1
1379 3242 -1
1379 4857 1
1379 6548 1
1379 1722 -1
1379 1670 -1
1380 1383 1
1380 5804 1
1380 3162 -1
1380 5056 1
1381 6815 1
1382 2067 -1
1382 6201 -1
1382 6633 1
1382 4665 -1
1383 3705 -1
1383 3936 1
1383 5210 1
1383 2962 -1
1384 5094 -1
1384 5565 1
1384 2235 1
1384 1847 -1
1384 4398 1
1385 4563 1
1385 2584 -1
1385 1450 -1
1386 5384 -1
1386 3958 1
1386 3477 -1
1387 6396 1
1388 4993 -1
1388 5475 1
1389 3755 -1
1389 3021 1
1389 3244 1
1389 2200 -1
1389 6225 -1
1390 4048 -1
1390 3850 1
1390 1420 -1
1390 2162 -1
1390 3200 1
1390 4325 -1
1390 3198 1
1391 5577 -1
1391 2621 1
1391 2805 -1
1391 4687 1
1391 4213 1
1392 3981 -1
1392 6863 -1
1393 6531 -1
1394 6010 -1
1394 3818 -1
1394 5959 1
1394 4047 1
1394 3272 1
1394 3948 1
1394 3559 1
1394 3776 -1
1394 3749 -1
1395 4597 -1
1395 4568 -1
1395 6172 -1
1395 3647 1
1395 3204 1
1396 4877 -1
1396 2734 -1
1396 4870 -1
1397 3338 -1
1397 3503 -1
1397 2203 -1
1398 5154 1
1398 2582 -1
1398 3553 1
1398 2011 1
1398 3237 1
1398 2174 -1
1399 6310 1
1399 6766 1
1399 2006 -1
1399 3932 1
1400 3205 -1
1400 3787 -1
1400 4413 -1
1400 4208 -1
1400 1732 -1
1400 5632 1
1401 3454 -1
1401 5413 1
1401 4358 -1
1401 3706 1
1401 3373 -1
1402 3071 -1
1402 5429 1
1402 5598 1
1402 4290 1
1403 4981 -1
1403 1619 -1
1403 2295 -1
1403 2197 1
1403 3384 1
1403 2973 -1
1403 3657 1
1403 5431 -1
1404 5042 1
1404 6970 1
1404 1701 -1
1405 2466 1
1405 6296 -1
1405 6028 1
1405 2225 1
1406 5624 1
1406 5442 -1
1406 5342 -1
1406 5964 1
1406 6125 -1
1407 3453 1
1407 3422 -1
1407 5693 1
1408 6100 -1
1408 4753 -1
1408 5858 -1
1409 6441 -1
1409 1940 1
1409 4255 1
1409 5280 -1
1409 4631 1
1410 2001 -1
1410 2988 1
1410 4749 1
1410 4813 -1
1410 3225 1
1410 6653 1
1410 5323 1
1411 6765 -1
1412 6940 1
1412 3941 -1
1412 6208 1
1413 2720 1
1413 2910 1
1413 1462 -1
1413 5859 -1
1413 6013 -1
1413 5724 1
1414 5230 -1
1414 4324 -1
1414 2837 -1
1414 5368 1
1414 3280 1
1415 5912 -1
1416 2845 -1
1416 5262 -1
1416 4700 -1
1416 4473 -1
1416 1664 1
1417 3000 1
1417 5603 -1
1418 3178 -1
1418 2648 -1
1418 1448 -1
1418 1908 -1
1419 4042 1
1420 6881 1
1420 6500 1
1420 1919 -1
1420 4919 1
1420 2829 -1
1420 3106 -1
1421 4538 -1
1421 5462 1
1421 1603 -1
1421 6331 1
1421 1793 1
1422 4024 -1
1422 1630 1
1422 5688 1
1422 1773 -1
1422 2596 1
1422 2465 1
1422 5148 -1
1422 6507 1
1423 5127 1
1423 4808 -1
1423 4706 1
1423 1597 1
1423 6091 -1
1423 3525 1
1424 3811 1
1424 2384 -1
1424 3770 -1
1425 2085 -1
1425 5776 1
1426 3591 -1
1426 1631 1
1427 6153 1
1427 3143 1
1427 4956 1
1427 5851 1
1427 2172 1
1428 4328 1
1428 3581 -1
1428 4011 1
1428 5767 -1
1428 5451 1
1429 5691 1
1429 5199 -1
1429 2521 -1
1429 6166 -1
1429 1553 -1
1429 5360 -1
1429 1464 -1
1429 5510 -1
1430 1550 1
1430 3239 -1
1430 1634 1
1430 3692 1
1431 2271 1
1431 2208 -1
1432 3251 -1
1432 2834 1
1433 2894 1
1433 1781 1
1433 5607 -1
1434 6294 1
1434 2059 -1
1435 2322 1
1435 1688 1
1435 1694 1
1435 3667 -1
1435 1639 1
1435 3158 1
1436 6171 1
1436 3398 -1
1436 4812 1
1436 6851 -1
1436 5514 -1
1436 2811 -1
1436 5858 1
1437 6334 1
1438 6599 -1
1438 1588 1
1438 4301 1
1438 3060 -1
1438 3302 -1
1438 6012 -1
1438 3789 -1
1438 5954 1
1439 4245 1
1439 1503 -1
1439 2895 -1
1439 4356 -1
1439 5041 -1
1439 3812 -1
1440 2258 -1
1440 6080 -1
1440 2559 1
1440 6717 1
1440 2388 -1
1440 3841 -1
1440 6788 1
1441 5077 1
1441 5191 1
1441 4373 -1
1442 6930 1
1442 5518 1
1442 5823 -1
1442 2761 1
1443 3204 -1
1443 3701 -1
1443 2096 -1
1443 4185 -1
1444 6174 1
1444 4685 1
1444 1548 1
1444 6675 1
1445 3503 1
1445 2346 1
1445 3496 1
1445 6390 1
1445 4570 1
1446 6276 -1
1447 4986 -1
1447 4819 -1
1447 5025 1
1447 1499 1
1447 3221 1
1447 6168 1
1447 3506 1
1447 3121 1
1447 2246 1
1448 1612 1
1448 4729 -1
1448 6512 1
1448 3010 -1
1448 3961 1
1449 4796 1
1449 2413 1
1449 3404 1
1449 4956 -1
1450 6988 1
1450 2888 1
1450 3730 1
1450 3655 1
1450 3671 -1
1450 6579 1
1450 4336 1
1451 3168 1
1451 5774 1
1451 3619 -1
1451 3804 -1
1452 6766 -1
1452 1510 1
1452 5773 -1
1453 3642 1
1453 5905 1
1453 5373 -1
1453 6203 -1
1454 5410 1
1454 2745 1
1454 3886 -1
1455 3263 -1
1455 2958 1
1455 5656 -1
1455 4523 1
1456 2073 1
1456 4207 -1
1456 1752 -1
1456 3846 -1
1457 3725 1
1457 4649 1
1457 5185 1
1457 5896 1
1457 2020 -1
1458 2184 -1
1458 4197 1
1458 5180 -1
1458 5517 -1
1458 5713 1
1459 1586 -1
1459 4643 -1
1459 5644 -1
1459 3340 -1
1460 2466 1
1460 5487 -1
1460 5804 -1
1460 3894 1
1461 1633 1
1461 2082 -1
1461 2392 -1
1461 3566 1
1462 3963 -1
1462 6829 -1
1462 2325 1
1462 5674 -1
1462 3940 1
1463 3012 -1
1463 2730 -1
1463 6081 -1
1464 6649 1
1464 3932 1
1465 2807 -1
1465 5901 1
1465 3791 1
1466 1808 1
1466 2516 1
1466 5223 1
1467 2875 -1
1467 1737 1
1467 4102 1
1468 1789 -1
1468 2205 1
